analysis_id,database,cohort,outcome,effect_type,gv_metric,source_definition,adjustment_set,existing_locked_estimate_available,new_fit_required,patient_level_available,fit_status,reason
MIMIC_PRIMARY_MODEL_B_30D,MIMIC-IV,final day-1 landmark target N=10561,30-day all-cause mortality,HR,GV SD per 10 mg/dL,final source-priority series,Model B final contract,TRUE,FALSE,TRUE,LOCKED_RESULT_AVAILABLE,Use locked final result for Phase 2 framing; no refit in Phase 1.6
MIMIC_MODEL_C_30D,MIMIC-IV,final day-1 landmark target N=10561,30-day all-cause mortality,HR,GV SD per 10 mg/dL,final source-priority series,Model C final measurement/process covariates,TRUE,FALSE,TRUE,LOCKED_RESULT_AVAILABLE,Locked MICE Model C fingerprint is available; no refit in Phase 1.6
MIMIC_SOURCE_POCT_30D,MIMIC-IV,POCT-only source cohort,30-day all-cause mortality,HR,source-specific GV SD per 10 mg/dL,POCT-only,Model B source sensitivity contract,TRUE,FALSE,TRUE,LOCKED_RESULT_AVAILABLE,Locked source result exists; same-patient and source cohorts remain distinct
MIMIC_SOURCE_LAB_30D,MIMIC-IV,central-laboratory-only source cohort,30-day all-cause mortality,HR,source-specific GV SD per 10 mg/dL,central laboratory-only,Model B source sensitivity contract,TRUE,FALSE,TRUE,LOCKED_RESULT_AVAILABLE,Locked source result exists; not interchangeable with POCT
MIMIC_SAMEPATIENT_POCT_30D,MIMIC-IV,"same-patient complete-case N=409, events=49",30-day all-cause mortality,HR,POCT-derived GV SD per 10 mg/dL,same-patient POCT,same-patient Model B contract,TRUE,FALSE,TRUE,LOCKED_RESULT_AVAILABLE,Locked same-patient result exists; agreement diagnostics are separate
MIMIC_SAMEPATIENT_LAB_30D,MIMIC-IV,"same-patient complete-case N=409, events=49",30-day all-cause mortality,HR,central-laboratory-derived GV SD per 10 mg/dL,same-patient central laboratory,same-patient Model B contract,TRUE,FALSE,TRUE,LOCKED_RESULT_AVAILABLE,Locked same-patient result exists; agreement diagnostics are separate
MIMIC_MEASUREMENT_PROCESS_CONTEXT,MIMIC-IV,final target plus source-context flags,measurement-process characterization,DESCRIPTIVE/ASSOCIATION,"GV SD, mean, count, span",final source-priority and paired-source context,Phase 2 specification to be declared before fitting,FALSE,TRUE,TRUE,PLANNED_NOT_RUN,Phase 1.6 registers the estimand only; sampling-process models are prohibited here
MIMIC_SAMEPATIENT_AGREEMENT_DIAGNOSTIC,MIMIC-IV,paired-source agreement-eligible cohort,paired GV measurement agreement,DESCRIPTIVE,paired POCT and laboratory GV,same-patient paired source file,Not applicable,FALSE,TRUE,TRUE,PLANNED_NOT_RUN,No correlation or Bland–Altman analysis is run before Phase 2
EICU_M3,eICU-CRD,"final aggregate harmonized M3 N=7115, events=130",post-landmark hospital mortality,RR,aggregate GV SD per 10 mg/dL,preserved aggregate all-source glucose features,harmonized M3,TRUE,FALSE,TRUE,LOCKED_RESULT_AVAILABLE,Reconstructed eligibility mask and verified locked M3 fingerprint
EICU_M4,eICU-CRD,"final aggregate harmonized M4 N=7115, events=130",post-landmark hospital mortality,RR,aggregate GV SD per 10 mg/dL,preserved aggregate all-source glucose features,harmonized M4 plus count and span,TRUE,FALSE,TRUE,LOCKED_RESULT_AVAILABLE,Reconstructed eligibility mask and verified locked M4 fingerprint
EICU_EVENT_LEVEL_RECONSTRUCTION,eICU-CRD,event-level glucose reconstruction,post-landmark hospital mortality,RR,event-level GV,event-level eICU glucose series,To be declared only if event-level data become available,FALSE,TRUE,FALSE,NOT_FEASIBLE,No separate event-level eICU glucose input is preserved in the final package
EICU_MIMIC_POOLING,MIMIC-IV plus eICU-CRD,cross-database comparison,non-equivalent database outcomes,PROHIBITED_POOLING,database-specific GV scales,MIMIC final priority versus eICU aggregate,Not applicable,FALSE,FALSE,TRUE,PROHIBITED,Do not pool or claim interchangeability across non-equivalent HR/RR and measurement processes
INSPIRE_I2_24H,INSPIRE,"24h landmark N=1353, events=27",30-day all-cause mortality,HR,GV SD per 10 mg/dL,INSPIRE final 24h anchor,I2 final contract,TRUE,FALSE,TRUE,LOCKED_RESULT_AVAILABLE,Verified v5 locked I2 result and coverage attestation
INSPIRE_I2_48H,INSPIRE,"48h landmark N=1511, events=31",30-day all-cause mortality,HR,GV SD per 10 mg/dL,INSPIRE final 48h landmark cohort,I2 48h final contract,TRUE,FALSE,TRUE,LOCKED_RESULT_AVAILABLE,Verified v5 locked 48h result and coverage attestation
INSPIRE_365D,INSPIRE,final INSPIRE source cohort,365-day all-cause mortality,HR,GV SD per 10 mg/dL,INSPIRE v5 source data,Not registered for Phase 2 without coverage decision,FALSE,FALSE,TRUE,WITHDRAWN,No common 365-day registry coverage end documented; do not reintroduce failed historical/withdrawn endpoint
