figure,panel,source_data_file,analysis_id,N,events,statistic,source_status,script,hash
Figure 1,framework specification (not generated in Phase 2C),manuscript_provenance/JAHA_Data_Set_S1_Figure_Source_Map.csv,FRAMEWORK_SPECIFICATION,NA,NA,"Database roles, anchors, exposure windows, source and outcome differences specified for Phase 3 figure construction.",SPECIFICATION_ONLY,NA,manuscript_provenance/JAHA_Data_Set_S1_Figure_Source_Map.csv=922412e5ac3a740ff06a8dc8d830c642a92f8c6cbb0a52d6fb022e59e36b91c6;local_extension_workspace/outputs/machine_readable/final_measurement_context.csv=42c6f774425c62c303a456501a27f06c17ce17eae2f98b0e423ca855eef79c88
Figure 2,A: same-patient source scatter,locked_analysis_record/data/samepatient_poct_lab.csv;local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,P2A_AGREEMENT_PRIMARY_GV,452,NA,POCT/laboratory GV scatter; Pearson and Spearman agreement.,PHASE2A_LOCKED,local_extension_workspace/scripts/phase2b/03_candidate_figures.R,locked_analysis_record/data/samepatient_poct_lab.csv=9ff80386a5145f4cdc664a1ffe67db0e43a2bda08c93351bd81d6a9623b8774c;local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv=511a9dbb0552b388f2d5f7d62263a14c55413dc246eab40b68c6522d46fd2c66
Figure 2,B: original-scale Bland-Altman,locked_analysis_record/data/samepatient_poct_lab.csv;local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,P2A_AGREEMENT_PRIMARY_GV_MEAN_DIFFERENCE,452,NA,Mean difference and original-scale 95% limits of agreement.,PHASE2A_LOCKED,local_extension_workspace/scripts/phase2b/03_candidate_figures.R,locked_analysis_record/data/samepatient_poct_lab.csv=9ff80386a5145f4cdc664a1ffe67db0e43a2bda08c93351bd81d6a9623b8774c;local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv=511a9dbb0552b388f2d5f7d62263a14c55413dc246eab40b68c6522d46fd2c66
Figure 2,C: multiplicative-scale sensitivity,locked_analysis_record/data/samepatient_poct_lab.csv;local_extension_workspace/outputs/machine_readable/phase2b_log_scale_agreement.csv,P2B_LOG_PRIMARY_GEOMETRIC_MEAN_RATIO,447,NA,"Mean/median log ratio, geometric ratio and exponentiated limits; positive pairs only.",PHASE2B_LOCKED,local_extension_workspace/scripts/phase2b/03_candidate_figures.R,locked_analysis_record/data/samepatient_poct_lab.csv=9ff80386a5145f4cdc664a1ffe67db0e43a2bda08c93351bd81d6a9623b8774c;local_extension_workspace/outputs/machine_readable/phase2b_log_scale_agreement.csv=95d44bc991ba9cf4f5b11911632f540b34ed891ece96513dd16c3d21a1d0ce6b
Figure 2,D: same-patient mortality coefficients,locked_analysis_record/results/measurement_source_results.csv;local_extension_workspace/outputs/machine_readable/phase2a_source_model_reproduction.csv;local_extension_workspace/outputs/machine_readable/phase2a_same_patient_bootstrap_summary.csv,MIMIC_SAMEPATIENT_POCT_HR;MIMIC_SAMEPATIENT_LAB_HR;P2A_BOOTSTRAP_COEFFICIENT_RATIO,409,49,"POCT HR, laboratory HR, paired delta-beta ratio and bootstrap interval; identical patients/events marked.",PHASE2A_LOCKED,local_extension_workspace/scripts/phase2b/03_candidate_figures.R,locked_analysis_record/results/measurement_source_results.csv=ebb489c3f31bc879aa24e9ce98b6b5da66232a0312700c9ba237153c87180909;local_extension_workspace/outputs/machine_readable/phase2a_source_model_reproduction.csv=dd95b86fa7e2fd5c9781c3ab7d3ee6c7d22888e3b9273dff77ae583f8d26c5a9;local_extension_workspace/outputs/machine_readable/phase2a_same_patient_bootstrap_summary.csv=46251e89112953c8787710ca4363ef0c416ae0460f980533e3a70f8b831cd7b1
Figure 3,A: MIMIC adjustment context,local_extension_workspace/outputs/machine_readable/phase2b_analytic_context_landscape.csv,MIMIC_ADJUSTMENT_CONTEXT,NA,NA,Model A/B/C in conceptual order; HR; N/events shown per row.,PHASE2B_LOCKED,local_extension_workspace/scripts/phase2b/03_candidate_figures.R,local_extension_workspace/outputs/machine_readable/phase2b_analytic_context_landscape.csv=dd167892d5ba1777ab2d7e5bb1de0b9f95520ba8a1075cc7cb7b3226c057a5ff
Figure 3,B: MIMIC source context,local_extension_workspace/outputs/machine_readable/phase2b_analytic_context_landscape.csv,MIMIC_SOURCE_CONTEXT,NA,NA,"Priority series, source-specific series and same-patient POCT/laboratory pair; HR; pair visually distinct.",PHASE2B_LOCKED,local_extension_workspace/scripts/phase2b/03_candidate_figures.R,local_extension_workspace/outputs/machine_readable/phase2b_analytic_context_landscape.csv=dd167892d5ba1777ab2d7e5bb1de0b9f95520ba8a1075cc7cb7b3226c057a5ff
Figure 3,C: INSPIRE timing/adjustment context,local_extension_workspace/outputs/machine_readable/phase2b_analytic_context_landscape.csv,INSPIRE_CONTEXT,NA,NA,I1/I2/I3 and corrected 48-hour landmark; HR; no withdrawn 365-day result.,PHASE2B_LOCKED,local_extension_workspace/scripts/phase2b/03_candidate_figures.R,local_extension_workspace/outputs/machine_readable/phase2b_analytic_context_landscape.csv=dd167892d5ba1777ab2d7e5bb1de0b9f95520ba8a1075cc7cb7b3226c057a5ff
Figure 3,D: eICU adjustment context,local_extension_workspace/outputs/machine_readable/phase2b_analytic_context_landscape.csv,EICU_CONTEXT,NA,NA,M1/M2/M3/M4 context family; RR; no pooling with HR.,PHASE2B_LOCKED,local_extension_workspace/scripts/phase2b/03_candidate_figures.R,local_extension_workspace/outputs/machine_readable/phase2b_analytic_context_landscape.csv=dd167892d5ba1777ab2d7e5bb1de0b9f95520ba8a1075cc7cb7b3226c057a5ff
Figure 4,decision,manuscript_provenance/JAHA_Data_Set_S1_Figure_Source_Map.csv;locked_analysis_record/results/12_absolute_risk_results.csv,ORIG_MIMIC_ABSOLUTE_RISK_30D,9751,240,Original Figure 3 risk contrast; decision is MOVE_TO_SUPPLEMENT.,ORIGINAL_SUBMISSION_PROVENANCE,manuscript_provenance/JAHA_Data_Set_S1_Figure_Source_Map.csv,manuscript_provenance/JAHA_Data_Set_S1_Figure_Source_Map.csv=922412e5ac3a740ff06a8dc8d830c642a92f8c6cbb0a52d6fb022e59e36b91c6;locked_analysis_record/results/12_absolute_risk_results.csv=14ef316da32eef5854c1b368a7ff0e26383e61da889ccde4cb7eb0785cb9aacb
