evidence_id,priority,destination,figure_or_table,main_or_supplement,reason
EICU_M1,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
EICU_M2,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
EICU_M3,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
EICU_M4,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
INSPIRE_CORRECTED_48H_30D,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
INSPIRE_I1_24H_30D,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
INSPIRE_I2_24H_30D,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
INSPIRE_I3_24H_30D,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_EICU_M1_24H_AGGREGATE,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_EICU_M2_24H_AGGREGATE,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_EICU_M3_24H_AGGREGATE,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_EICU_M4_24H_AGGREGATE,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_INSPIRE_I1_24H_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_INSPIRE_I2_24H_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_INSPIRE_I2_48H_CORRECTED_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_INSPIRE_I3_24H_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_MIMIC_ADJUSTMENT_A_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_MIMIC_ADJUSTMENT_B_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_MIMIC_ADJUSTMENT_C_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_MIMIC_SOURCE_BLOOD_GAS_ONLY_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_MIMIC_SOURCE_CENTRAL_LAB_ONLY_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_MIMIC_SOURCE_COMMON_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_MIMIC_SOURCE_POCT_ONLY_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_MIMIC_SOURCE_PRIORITY_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_MIMIC_SOURCE_SAME_PATIENT_LAB_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
LANDSCAPE_MIMIC_SOURCE_SAME_PATIENT_POCT_30D,1,Results; Candidate Figure 3,Candidate Figure 3,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_MEAN_GLUCOSE,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_MEAN_GV,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_MEASUREMENT_COUNT_MEDIAN,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_MEASUREMENT_SPAN_MEDIAN,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_MODEL_A_30D,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_MODEL_A_365D,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
MIMIC_MODEL_B_30D,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_MODEL_B_365D,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
MIMIC_MODEL_C_30D,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_MODEL_C_365D,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
MIMIC_PRIMARY_COHORT_30D,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_PRIMARY_COHORT_365D,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
MIMIC_SAMEPATIENT_LAB_HR,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_SAMEPATIENT_POCT_HR,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_SOURCE_BLOOD_GAS_ONLY_30D,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_SOURCE_CENTRAL_LAB_ONLY_30D,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_SOURCE_COMMON_30D,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
MIMIC_SOURCE_POCT_ONLY_30D,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
