output_id,database,cohort,model_id,generating_script,source_result,n,events,key_estimate,document_location,verification_status
Main Table 1,three databases,"roles, anchors, outcomes, estimands",NA,config/model_specifications.yml (authored summary),config/model_specifications.yml,NA,NA,descriptive table,Final_Manuscript.docx,MAPPED
Main Table 2,MIMIC-IV 3.1,day-1 landmark cohort,MICE_A/B/C_30d; MICE_A/B/C_365d,analyses/03_primary_mimic/03_run_primary_models_mice.R (+04_ph_rcs_absoluterisk.R),mice_pooled_models.csv; 04_primary_results.csv; 12_absolute_risk_results.csv,10561,296 (30d) / 745 (365d),"Model B 30d HR 0.979 (0.922-1.040) P=0.495; 365d HR 0.985 (0.942-1.030) P=0.506",Final_Manuscript.docx,VERIFIED_RERUN_IDENTICAL
Main Table 3,INSPIRE 1.4.2,opend+24h landmark frame; corrected 48h landmark frame,ADMINV5_I1/I2/I3_30d; ADMINV5_I2_48h_landmark_30d,analyses/06_inspire/05_uniform_admin_censoring_v5.R,30d_primary_results_v5.csv; 48h_landmark_result_v5.csv,1353 / 1511,27 / 31,"I2 30d HR 0.905 (0.653-1.254) P=0.547; 48h HR 1.104 (0.846-1.441) P=0.464",Final_Manuscript.docx,VERIFIED_RERUN_IDENTICAL
Main Table 4,MIMIC-IV + eICU-CRD 2.0,source-restricted series; harmonized frames,SRC_POCT_30d; SRC_CENTRALLAB_30d; SRC_BLOODGAS_30d; HARM_eICU-CRD_M3,analyses/05_source_sensitivity/02_fit_source_models.R; analyses/07_eicu/01_fit_harmonized_models.R,measurement_source_results.csv; 10_cross_database_results.csv,per-series; 7115 (eICU),130 (eICU),"POCT 0.827 (0.740-0.924); central-lab 0.979; blood-gas 1.057; eICU M3 RR 1.158 (1.025-1.308) P=0.019",Final_Manuscript.docx,VERIFIED_FROZEN_PASS
Main Table 5,MIMIC-IV 3.1,nested pre-index HbA1c cohort,OMNI_J1_vs_J0_30d/365d; D2_vs_D1_30d/365d,analyses/08_shr_component/03_joint_models.R (+04_joint_risk_performance.R),shr_gv_joint_omnibus_tests.csv; shr_gv_component_decomposition.csv; shr_gv_model_performance.csv,4779,99 (30d) / 303 (365d),"omnibus F(2)=1.844 P=0.158; F(2)=2.338 P=0.097; D2 vs D1 P=0.948/0.476",Final_Manuscript.docx,VERIFIED_FROZEN_PASS
Main Figure 1,three databases,cohort flow schematic,NA,analyses/09_quality_control/figure_build/build_main_figures.py,04_primary_results.csv; 30d_primary_results_v5.csv; 10_cross_database_results.csv,10561 / 1353 / 4779 / 7115,296 / 27 / 99 / 130,design schematic,Final_Manuscript.docx,CONTENT_VERIFIED
Main Figure 2,MIMIC-IV 3.1,day-1 landmark cohort,MICE_A/B/C_30d; PH365 interval MICE-pooled,analyses/09_quality_control/figure_build/build_fig23_main_figures.py,04_primary_results.csv; PH365_INTERVAL_MICE_POOLED.csv; PH365_GV_LOGTIME_SENSITIVITY_MICE_POOLED.csv,10561,296 / 745 (162/139/444 by interval),"Model sequence + intervals 1.063/0.974/0.938; GV x log(time) 0.966",Final_Manuscript.docx,CONTENT_VERIFIED
Main Figure 3,MIMIC-IV 3.1,MICE model sequence; CC standardization frame,ABSRISK_30d,analyses/09_quality_control/figure_build/build_fig23_main_figures.py,04_primary_results.csv; 12_absolute_risk_results.csv,10561 / 9751,296 / 240,"30d Q75-vs-Q25 RD -0.04 pp (-0.28 to +0.15)",Final_Manuscript.docx,CONTENT_VERIFIED
Main Figure 4,INSPIRE 1.4.2,24h + corrected 48h landmark frames,ADMINV5_I2_30d; ADMINV5_I2_48h_landmark_30d,analyses/09_quality_control/figure_build/build_main_figures.py,30d_primary_results_v5.csv; 48h_landmark_result_v5.csv,1353 / 1511,27 / 31,exact-timestamp landmark audit display,Final_Manuscript.docx,CONTENT_VERIFIED
Main Figure 5,MIMIC-IV + eICU-CRD 2.0,source-restricted + harmonized frames,SRC_*; HARM_*,analyses/09_quality_control/figure_build/build_main_figures.py,measurement_source_results.csv; 10_cross_database_results.csv,per-series; 8117 / 7115,128 / 130,measurement context + non-pooled comparison,Final_Manuscript.docx,CONTENT_VERIFIED
