context_id,database,context_family,cohort_definition,time_anchor,exposure_window,source_definition,gv_definition,adjustment_model,outcome,effect_type,N,events,estimate,lower95,upper95,p_value,estimate_origin,new_or_locked,interpretive_note,fit_status,figure_panel,figure_order,same_patient_pair,lineage_version
MIMIC_ADJUSTMENT_A_30D,MIMIC-IV,MIMIC adjustment context,final MIMIC primary target,surgery t0 to postoperative day-1 landmark,final 24-hour source-priority glucose window,central laboratory > blood gas > POCT > ICU-charted source-priority series,sample SD of retained glucose values; per 10 mg/dL GV,Model A,30-day all-cause mortality after day-1 landmark,HR,10561,296,1.04716557677007,0.993999407267487,1.10317545177077,0.082992866310105,locked_analysis_record/results/mice_pooled_models.csv#MICE_A_30d,LOCKED,Locked MIMIC adjustment context; Model C is retained as a sampling-process specification shift from Model B.,LOCKED_RESULT_VERIFIED,MIMIC_adjustment,1,FALSE,JAHA_v5_final_lineage
MIMIC_ADJUSTMENT_B_30D,MIMIC-IV,MIMIC adjustment context,final MIMIC primary target,surgery t0 to postoperative day-1 landmark,final 24-hour source-priority glucose window,central laboratory > blood gas > POCT > ICU-charted source-priority series,sample SD of retained glucose values; per 10 mg/dL GV,Model B,30-day all-cause mortality after day-1 landmark,HR,10561,296,0.979380602603274,0.922463143248402,1.03980996072952,0.495212797342227,locked_analysis_record/results/mice_pooled_models.csv#MICE_B_30d,LOCKED,Locked MIMIC adjustment context; Model C is retained as a sampling-process specification shift from Model B.,LOCKED_RESULT_VERIFIED,MIMIC_adjustment,2,FALSE,JAHA_v5_final_lineage
MIMIC_ADJUSTMENT_C_30D,MIMIC-IV,MIMIC adjustment context,final MIMIC primary target,surgery t0 to postoperative day-1 landmark,final 24-hour source-priority glucose window,central laboratory > blood gas > POCT > ICU-charted source-priority series,sample SD of retained glucose values; per 10 mg/dL GV,Model C,30-day all-cause mortality after day-1 landmark,HR,10561,296,1.02857335963722,0.967085280657172,1.09397090134231,0.370365215072494,locked_analysis_record/results/mice_pooled_models.csv#MICE_C_30d,LOCKED,Locked MIMIC adjustment context; Model C is retained as a sampling-process specification shift from Model B.,LOCKED_RESULT_VERIFIED,MIMIC_adjustment,3,FALSE,JAHA_v5_final_lineage
MIMIC_SOURCE_PRIORITY_30D,MIMIC-IV,MIMIC measurement-source context,final MIMIC primary target,surgery t0 to postoperative day-1 landmark,final 24-hour source-priority glucose window,central laboratory > blood gas > POCT > ICU-charted source-priority series,sample SD of retained glucose values; per 10 mg/dL GV,Model B (primary priority series),30-day all-cause mortality after day-1 landmark,HR,10561,296,0.979380602603274,0.922463143248402,1.03980996072952,0.495212797342227,locked_analysis_record/results/mice_pooled_models.csv#MICE_B_30d,LOCKED,Primary priority-series estimate; included in the source-context family to anchor source comparisons.,LOCKED_RESULT_VERIFIED,MIMIC_source,1,FALSE,JAHA_v5_final_lineage
MIMIC_SOURCE_POCT_ONLY_30D,MIMIC-IV,MIMIC measurement-source context,POCT-only series,surgery t0 to postoperative day-1 landmark,final 24-hour source-specific glucose window,POCT-only series,sample SD of retained glucose values; per 10 mg/dL GV,Model B (same as primary),30-day all-cause mortality after day-1 landmark,HR,7602,107,0.82683816001862,0.740075506230323,0.923772422013129,0.000774320735174024,locked_analysis_record/results/measurement_source_results.csv#SRC_poct_30d,LOCKED,Source-specific final priority-derived series; not a same-patient paired estimate.,LOCKED_RESULT_VERIFIED,MIMIC_source,2,FALSE,JAHA_v5_final_lineage
MIMIC_SOURCE_CENTRAL_LAB_ONLY_30D,MIMIC-IV,MIMIC measurement-source context,central-laboratory-only series,surgery t0 to postoperative day-1 landmark,final 24-hour source-specific glucose window,central-laboratory-only series,sample SD of retained glucose values; per 10 mg/dL GV,Model B (same as primary),30-day all-cause mortality after day-1 landmark,HR,826,129,0.978541851084597,0.93331334191476,1.02596214081714,0.368967843358077,locked_analysis_record/results/measurement_source_results.csv#SRC_centrallab_30d,LOCKED,Source-specific final priority-derived series; not a same-patient paired estimate.,LOCKED_RESULT_VERIFIED,MIMIC_source,3,FALSE,JAHA_v5_final_lineage
MIMIC_SOURCE_BLOOD_GAS_ONLY_30D,MIMIC-IV,MIMIC measurement-source context,blood-gas-only series,surgery t0 to postoperative day-1 landmark,final 24-hour source-specific glucose window,blood-gas-only series,sample SD of retained glucose values; per 10 mg/dL GV,Model B (same as primary),30-day all-cause mortality after day-1 landmark,HR,9431,156,1.05716421806268,0.968110482047594,1.15440975454403,0.215667194991528,locked_analysis_record/results/measurement_source_results.csv#SRC_bloodgas_30d,LOCKED,Source-specific final priority-derived series; not a same-patient paired estimate.,LOCKED_RESULT_VERIFIED,MIMIC_source,4,FALSE,JAHA_v5_final_lineage
MIMIC_SOURCE_COMMON_30D,MIMIC-IV,MIMIC measurement-source context,common-source (POCT + central lab) series,surgery t0 to postoperative day-1 landmark,final 24-hour source-specific glucose window,common-source (POCT + central lab) series,sample SD of retained glucose values; per 10 mg/dL GV,Model B (same as primary),30-day all-cause mortality after day-1 landmark,HR,8355,202,0.977529963550784,0.922998607659253,1.03528306728754,0.437754631449901,locked_analysis_record/results/measurement_source_results.csv#SRC_common_30d,LOCKED,Common-source series; cohort differs from the same-patient comparison cohort.,LOCKED_RESULT_VERIFIED,MIMIC_source,5,FALSE,JAHA_v5_final_lineage
MIMIC_SOURCE_SAME_PATIENT_POCT_30D,MIMIC-IV,MIMIC measurement-source context,"same patients (N=409), POCT-derived GV",surgery t0 to postoperative day-1 landmark,final 24-hour source-specific glucose window,same-patient POCT-derived GV,sample SD of retained glucose values; per 10 mg/dL GV,Model B (same as primary),30-day all-cause mortality after day-1 landmark,HR,409,49,0.758857245048576,0.638761960045579,0.90153195459796,0.00169381122418289,locked_analysis_record/results/measurement_source_results.csv#SRC_samepatient_poct_30d,LOCKED,"Identical 409 patients and 49 events as the same-patient laboratory row; source-definition coefficient difference is descriptive, not causal.",LOCKED_RESULT_REPRODUCED_PHASE2A,MIMIC_source,6,TRUE,JAHA_v5_final_lineage
MIMIC_SOURCE_SAME_PATIENT_LAB_30D,MIMIC-IV,MIMIC measurement-source context,"same patients (N=409), LAB-derived GV",surgery t0 to postoperative day-1 landmark,final 24-hour source-specific glucose window,same-patient central-laboratory-derived GV,sample SD of retained glucose values; per 10 mg/dL GV,Model B (same as primary),30-day all-cause mortality after day-1 landmark,HR,409,49,0.970897006154936,0.910334291034253,1.03548883728159,0.368784459152182,locked_analysis_record/results/measurement_source_results.csv#SRC_samepatient_lab_30d,LOCKED,"Identical 409 patients and 49 events as the same-patient POCT row; source-definition coefficient difference is descriptive, not causal.",LOCKED_RESULT_REPRODUCED_PHASE2A,MIMIC_source,7,TRUE,JAHA_v5_final_lineage
